City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,16.07,64,40,2.61,AU,1682507483
1,iskateley,67.6803,53.1512,-0.21,88,7,4.64,RU,1682507483
2,kingston,17.997,-76.7936,23.47,88,25,1.03,JM,1682507318
3,pechory,57.8164,27.6119,20.7,44,33,4.84,RU,1682507484
4,nuuk,64.1835,-51.7216,0.34,100,100,5.66,GL,1682507484
5,kodiak,57.79,-152.4072,1.73,93,100,2.06,US,1682507484
6,ilulissat,69.2167,-51.1,0.01,100,100,2.57,GL,1682507485
7,kiunga,-6.1219,141.2906,24.15,99,100,0.41,PG,1682507485
8,waitangi,-43.9535,-176.5597,8.79,86,51,1.34,NZ,1682507326
9,severo-yeniseyskiy,60.3725,93.0408,-1.14,85,100,3.06,RU,1682507487
10,port mathurin,-19.6833,63.4167,26.21,78,17,5.78,MU,1682507488
11,arkalyk,50.2486,66.9114,21.25,23,77,0.94,KZ,1682507489
12,ar ruways,24.1103,52.7306,28.43,52,96,5.11,AE,1682507489
13,san julian,21.0167,-102.1667,13.08,20,85,2.46,MX,1682507489
14,dudinka,69.4058,86.1778,-0.21,97,100,5.29,RU,1682507490
15,iqaluit,63.7506,-68.5145,-1.28,92,100,0.89,CA,1682507491
16,adamstown,-25.066,-130.1015,23.99,74,7,4.82,PN,1682507491
17,malango,-2.9627,119.9001,20.93,99,99,0.55,ID,1682507491
18,remire-montjoly,4.9167,-52.2667,23.02,100,75,1.54,GF,1682507492
19,bronderslev,57.2702,9.941,9.38,53,7,11.75,DK,1682507493
20,port-aux-francais,-49.35,70.2167,7.11,99,100,5.58,TF,1682507493
21,udachny,66.4167,112.4,-2.0,84,100,3.33,RU,1682507494
22,puerto baquerizo moreno,-0.9,-89.6,25.09,82,2,3.25,EC,1682507494
23,edinburgh of the seven seas,-37.0676,-12.3116,15.16,68,100,9.76,SH,1682507494
24,bethel,41.3712,-73.414,6.46,83,20,0.0,US,1682507495
25,haicheng,40.8516,122.7475,10.16,25,19,3.39,CN,1682507496
